'S	Z
POSNER	P AA Z N ER
POU	P UW
POYNER	P OY N ER
POZOS	P OW Z OW Z
PRATT	P R AE T
PRE	P R IY
PRENDERGAST	P R EH N D ER G AE S T
PRESIDIO	P R IH S IH D IY OW
PRESSURING	P R EH SH ER IH NG
PRETAX	P R IY T AE K S
PREVIOU	P R IY V IY UW
PRINOS	P R IY N OW Z
PRODUCTIVIT	P R AH D AH K T IH V AH T
PROVENZANO	P R OW V EH N Z AA N OW
PROVI	P R OW V IY
PS	S
PUCCIO	P UW CH IY OW
PUGET	P Y UW JH IH T
PURCHASERS'	P ER CH AH S ER Z
PUTNAM	P AH T N AH M
PYE	P AY
PYMM	P IH M
QUALLS	K W AO L Z
QUAYLE	K W EY L
R	AA R
R.S	AA R Z
RAMAPHOSA	R AE M AH F OW S AH
RAMEY	R AE M IY
RANDOL	R AE N D AH L
RASPUTIN	R AE S P Y UW T AH N
RATNER	R AE T N ER
RATON	R AE T AH N
RAUSCHER	R AW SH ER
RAYTHEON	R EY TH IY AH N
RAZZMATAZZ	R AE Z M AH T AE Z
REAGAN	R EY G AH N
REAGAN'S	R EY G AH N Z
REAGANS	R EY G AH N Z
REALIGN	R IY AH L AY N
REALIGNMENT	R IY AH L AY N M AH N T
REASSIGNED	R IY AH S AY N D
REAUTHORIZING	R IY AO TH ER AY Z IH NG
REAWAKENED	R IY AH W EY K AH N D
REBALANCING	R IY B AE L AH N S IH NG
REBELS'	R EH B AH L Z
RECUSE	R IH K Y UW Z
REDCO	R EH D K OW
REEBOK	R IY B AA K
REELECTION	R IY IH L EH K SH AH N
REFCO	R EH F K OW
REFERRALS	R EH F ER AH L Z
REFINERS'	R IH F AY N ER Z
REFSNES	R EH F S N IY Z
REGAN	R IY G AH N
REHIRED	R IY HH AY ER D
REICHLER	R AY K L ER
REINSDORF	R AY N Z D AO R F
RENAULT	R IH N OW
RENOIR	R EH N W AA R
RENOMINATION	R IY N AA M AH N EY SH AH N
RENSHAW	R EH N SH AO
REPLIGEN	R IH P L AY JH IH N
REPORTERS'	R IH P AO R T ER Z
REPOS	R IY P OW Z
REPOSSESSED	R IY P AH Z EH S T
REPURCHASE	R IY P ER CH AH S
REPURCHASING	R IY P ER CH AH S IH NG
RESUL	R IY S AH L
RETROVIR	R EH T R OW V IH R
REUTER	R OY T ER
REVLON	R EH V L AA N
REVLON'S	R EH V L AA N Z
REVOLUCIONARIO	R IY V OW L UW S IY AH N EH R IY OW
REYNOLDS	R EH N AH L D Z
RICARDO	R IY K AA R D OW
RICO	R IY K OW
RINEY	R IH N IY
RITTEREISER	R IH T ER AY Z ER
ROBB	R AA B
ROCARD	R OW K AA R D
ROCHE	R OW SH
RODRIQUEZ	R AA D R IY K EH Z
ROGAINE	R OW G EY N
ROH	R OW
ROH'S	R OW Z
ROL	R OW L
ROLEX	R OW L AH K S
ROLLWAGEN	R OW L W AE G AH N
ROONEY	R UW N IY
ROOSEVELT'S	R OW Z AH V EH L T S
RORER	R AO R ER
RORER'S	R AO R ER Z
ROSS	R AO S
ROSTENKOWSKI	R AA S T EH NG K AO F S K IY
ROTHSCHILD	R AO TH CH AY L D
ROUTINELY	R UW T IY N L IY
ROWE	R OW
ROWNTREE'S	R OW N T R IY Z
ROYCE	R OY S
RUCKELSHAUS	R AH K AH L Z HH AW S
RUDMAN	R AH D M AH N
RUHR	R UH R
RUMORS	R UW M ER Z
RUUD	R UW D
RUXPIN	R AH K S P IH N
RY	R AY
RYAN	R AY AH N
RYAN'S	R AY AH N Z
S	EH S
SABERBEIN	S EY B ER B AY N
SACHS	S AE K S
SAFET	S EY F T
SAI	S AY
SALOMON	S AE L AH M AH N
SALOMON'S	S AE L AH M AH N Z
SALVADORAN	S AE L V AH D AO R AH N
SANCHEZ'S	S AE N CH EH Z IH Z
SANKEI	S AE NG K EY
SANYO	S AA N Y OW
SAPP	S AE P
SARNEY'S	S AA R N IY Z
SAUNDERS	S AO N D ER Z
SAVIOR	S EY V Y ER
SCADS	S K AE D Z
SCALI	S K AA L IY
SCAM	S K AE M
SCANDINAVIA	S K AE N D IH N EY V IY AH
SCANLON	S K AE N L AH N
SCHALL	SH AO L
SCHERING	SH ER IH NG
SCHLESWIG	SH L EH S W IH G
SCHLUMBERGER	SH L AH M B ER G ER
SCHMIDT	SH M IH T
SCHREYER	SH R AY ER
SCHROEDER'S	SH R OW D ER Z
SCHULZE	SH UH L T S
SCHWARTZ	SH W AO R T S
SCHWARTZBERG	SH W AO R T S B ER G
SCHWARTZBERG'S	SH W AO R T S B ER G Z
SCHWARZ	SH W AO R T S
SCHWARZENEGGER	SH W AO R Z AH N EY G ER
SCIARRA	SH AO R AH
SEAGA	S IY G AH
SEARLE	S ER L
SECO	S EH K OW
SECORD	S EH K ER D
SEEMALA	S IY M EY L AH
SEGER	S IY G ER
SEMIONENKOV	S EH M IY OW N EH NG K AA V
SENECA	S EH N AH K AH
SENG	S EH NG
SEO	S EY OW
SEOW	S IY OW
SERVI	S ER V IY
SES	S IH Z
SHAFFER	SH AE F ER
SHAPERO	SH EY P ER OW
SHAPIRO	SH AH P IH R OW
SHARES'	SH EH R Z
SHEEHAN	SH IY AH N
SHELBY	SH EH L B IY
SHEPPARD	SH EH P ER D
SHERMAN	SH ER M AH N
SHIITE	SH IY AY T
SHIMBUN	SH IH M B AH N
SHIMIZU	SH IH M IY Z UW
SHO	SH OW
SHULTZ	SH UH L T S
SHUWA	SH UW W AH
SHUWA'S	SH UW W AH Z
SIEGLER	S IY G L ER
SIEMENS	S IY M AH N Z
SIEMENS'S	S IY M AH N Z IH Z
SIGOLOFF	S IH G AH L AO F
SIL	S IY L
SIMS	S IH M Z
SKANDINAVISKA	S K AE N D IH N AH V IH S K AH
SLOAN'S	S L OW N Z
SLOATE	S L OW T
SMALE	S M EY L
SMOLENSK	S M AH L EH N S K
SOCIETAL	S OW S IY EH T AH L
SOCIETE	S OW S IY EH T EY
SOIFER	S OY F ER
SOLARZ	S OW L AA R Z
SOLOMON	S AH L AH M AH N
SOMBER	S AA M B ER
SONY	S OW N IY
SOO	S UW
SOSNOFF	S AO S N AO F
SOVIETS'	S OW V IY EH T S
SPELMAN	S P AH L M AH N
SPERRY	S P EH R IY
SPIEGEL	S P IY G AH L
SPIELVOGEL	S P IY L V OW G AH L
SPINKS	S P IH NG K S
SPIRO	S P IH R OW
SS	EH S EH S
ST	S EY N T
STATEN	S T EY T AH N
STEAGALL	S T IY G AH L
STEARNS	S T ER N Z
STOLTENBERG	S T OW L T AH N B ER G
STUPSKI	S T AH P S K IY
SUBANDRIO	S AH B AE N D R IY OW
SUBARU	S UW B ER UW
SUBOTNICK	S AH B AA T N IH K
SUCHARD	S AH K ER D
SUCKOW	S AH K AW
SUEZ	S UW EH Z
SUGGE	S AH G
SUHARTO'S	S UW HH AA R T OW Z
SUI	S UW IY
SUISSE	S W IY S
SULLIVAN	S AH L IH V AH N
SUMITOMO	S UW M IH T OW M OW
SUSMAN	S AH S M AH N
SUSUMU	S UW S UW M UW
SUZUKI	S AH Z UW K IY
SWANN	S W AA N
SYNALLOY	S IH N AE L OY
SYNERGY	S IH N ER JH IY
T	T IY
T.'S	T IY Z
TAE	T AY
TAEKWONDO	T AY K W AA N D OW
TAGAMET	T AE G AH M EH T
TAKASAGO	T AA K AH S AA G OW
TAKETOMI	T AA K EY T OW M IY
TANAKA	T AA N AA K AH
TATE	T EY T
TAUBMAN	T AW B M AH N
TAXPAYERS'	T AE K S P EY ER Z
TECHNOLOGIES'	T EH K N AA L AH JH IY Z
TEETS	T IY T S
TEHRAN	T EY R AA N
TENNECO	T EH N AH K OW
TES	T EH S
TEXACO	T EH K S AH K OW
TEXACO'S	T EH K S AH K OW Z
TEXSTYRENE	T EH K S T AY R IY N
THA	DH AH
THANOS	TH EY N OW Z
THASSOS	TH AE S OW Z
THAYER	TH EY ER
THEATER	TH IY T ER
THEATERS	TH IY T ER Z
THI	T IY
THOMPSON	T AA M S AH N
THOMSON	T AA M S AH N
THR	TH R
TIANJIN	T IY AE N JH IH N
TIETMEYER	T IY T M AY ER
TIMEPLEX	T AY M P L EH K S
TODD	T AA D
TOMS	T AA M Z
TONI	T OW N IY
TOPEKA	T AH P IY K AH
TOSHIO	T OW SH IY OW
TOWLE'S	T AW L Z
TOYOO	T OY UW
TOYOTA	T OW Y OW T AH
TRADIN	T R AH D IH N
TRAVERS	T R AE V ER Z
TRI	T R IY
TRIBLE	T R IH B AH L
TROMA	T R OW M AH
TRUDEAU	T R UW D OW
TRUMKA	T R AH M K AH
TRUSTCO	T R AH S T K OW
TS	T S
TSAI	S AY
TSAI'S	S AY Z
TUCSON	T UW S AA N
TUTTLE	T AH T AH L
TYCO	T AY K OW
TYSON	T AY S AH N
UE	Y UW
ULLMAN	AH L M AH N
UNDERWRI	AH N D ER R AY
UNDERWRITERS'	AH N D ER R AY T ER Z
UNFAVORABLE	AH N F EY V ER AH B AH L
UNHEDGED	AH N HH EH JH D
UNIGESCO	Y UW N IH G EH S K OW
UNIONIZED	Y UW N Y AH N AY Z D
UNISYS	Y UW N IH S IH S
UNIX	Y UW N IH K S
UNOCAL	Y UW N AH K AH L
UNREGULATED	AH N R EH G Y AH L EY T IH D
UPFRONT	AH P F R AH N T
UPHAM	AH P AH M
UPJOHN	AH P JH AA N
UPTREND	AH P T R EH N D
UTILITIES'	Y UW T IH L AH T IY Z
UZI	UW Z IY
V.'S	V IY Z
VAL	V AH L
VALERY	V AE L ER IY
VANCE	V AE N S
VEGAS	V EY G AH S
VERDE	V EH R D IY
VES	V EH S
VICORP	V AY K AO R P
VICTIMS'	V IH K T IH M Z
VIEDMA	V IY D M AH
VIET	V IY EH T
VIGUERIE	V IY G ER IY
VIRAZOLE	V AY R AH Z OW L
VOLCKER	V OW L K ER
VOLCKER'S	V OW L K ER Z
VOLKSWAGEN	V OW L K S W AE G AH N
W.	D AH B AH L Y UW
W.'S	D AH B AH L Y UW Z
WAGNER	W AE G N ER
WALDEGARD	W AO L D AH G AA R D
WALESA	V AH L EH S AH
WALGREEN	W AO L G R IY N
WALLICH	W AO L IH K
WALSH	W AO L SH
WALSH'S	W AO L SH IH Z
WALT	W AO L T
WANDA	W AA N D AH
WATSON	W AA T S AH N
WEIL	W AY L
WEINBERGER	W AY N B ER G ER
WEINGARTEN	W AY NG G AA R T AH N
WEINSTEIN	W AY N S T IY N
WELK	W EH L K
WH	W
WHARTON	W AO R T AH N
WIENER	W IY N ER
WILCOX	W IH L K AA K S
WILKINSON	W IH L K AH N S AH N
WILLARD	W IH L ER D
WILSON	W IH L S AH N
WINANS	W IH N AH N Z
WINOKUR	W IH N AH K ER
WIS	V IH S
WOJCIECH	W OY CH EH K
WOR	W ER
WORKERS'	W ER K ER Z
WU	W UW
WYLIE	W AY L IY
WYNN	W IH N
WYNYARD	W IH N Y ER D
X.	AE K S
X.'S	EH K S IH Z
XIAOPING	ZH AW P IH NG
XOMA	Z OW M AH
XOMA'S	Z OW M AH Z
Y	W AY
YALE	Y EY L
YAMAICHI	Y AA M AA IY CH IY
YAMAICHI'S	Y AA M AA IY CH IY Z
YAOBANG	Y AW B AE NG
YARDENI	Y AA R D IY N IY
YEE	Y IY
YEUTTER	Y UW T ER
YLVISAKER	IH L V IY Z AH K ER
YOM	Y AA M
YONKERS	Y AA NG K ER Z
YPSILANTI	IH P S AH L AE N T IY
YUAN	Y UW AA N
YUPPIE	Y AH P IY
ZAGURY	Z AE G Y ER IY
ZAYRE	Z EY R
ZAYRE'S	Z EY ER Z
ZEHNDER	Z EH N D ER
ZHAO	ZH AW
ZHIVKOV	ZH IH V K AA V
ZIA	Z IY AH
ZIEMIAN	Z IY M IY AH N
ZINN	Z IH N
ZUCKERMAN'S	Z UW K ER M AH N Z
